"Genero","Altura","Peso","Duracao","Batimento.Cardiaco","Temperatura.Corporal","Calorias","Idade"
"feminino",163,61,22,101,40.8,134,"50-59"
"masculino",185,84,17,98,40.3,84,"30-39"
"masculino",184,92,18,103,40.4,128,"50-59"
"feminino",165,64,23,96,40.4,117,"30-39"
"masculino",199,105,20,105,40.8,137,"40-49"
"feminino",182,82,22,99,40.5,130,"70-79"
"masculino",181,87,25,104,40.9,138,"20-29"
"feminino",163,63,22,101,40.7,124,"30-39"
"feminino",169,66,20,109,40.5,136,"50-59"
NA,201,NA,23,98,40.7,125,"30-39"
"feminino",154,59,18,86,40.6,85,"60-69"
"masculino",NA,83,21,102,40.3,105,"20-29"
"feminino",184,83,15,98,40.6,86,"70-79"
"feminino",155,53,19,102,40.2,109,"20-29"
"masculino",188,91,21,103,40.2,135,"40-49"
"masculino",189,86,20,101,40.5,108,"30-39"
"masculino",189,95,15,95,40.4,98,"60-69"
"masculino",181,91,19,98,40.6,135,"70-79"
"feminino",NA,75,20,101,40.9,106,"20-29"
"feminino",181,79,16,NA,40.4,88,"30-39"
"feminino",173,69,22,102,40.6,128,"40-49"
"masculino",196,NA,14,92,40.4,80,"50-59"
"masculino",191,96,20,90,40.6,98,"50-59"
"masculino",195,94,20,98,40.5,99,"20-29"
"masculino",203,100,22,105,40.7,137,"20-29"
"feminino",159,57,21,NA,40.5,129,"50-59"
"feminino",158,54,19,99,40.3,108,"40-49"
NA,200,103,16,97,40.4,93,"40-49"
"feminino",185,79,15,95,40.1,82,"70-79"
"feminino",178,74,18,100,40.5,95,"20-29"
"masculino",178,87,17,NA,40.5,115,"50-59"
"feminino",197,89,18,102,40.3,102,"40-49"
"feminino",162,61,19,95,40.2,97,"30-39"
"masculino",194,91,23,100,40.5,114,"20-29"
"masculino",198,101,20,100,40.3,122,"40-49"
"masculino",176,79,18,98,40.1,126,"70-79"
"feminino",168,64,22,102,40.7,124,"20-29"
"feminino",160,61,16,NA,40.3,86,"20-29"
"masculino",194,96,16,100,40,91,"30-39"
"feminino",168,69,19,95,40.7,94,"30-39"
"feminino",153,55,21,107,41.1,130,"20-29"
NA,176,70,22,90,40.5,96,"30-39"
"feminino",173,65,22,107,40.4,136,"30-39"
"masculino",195,102,17,NA,40.4,121,"50-59"
"feminino",182,70,17,102,40.3,93,"20-29"
"feminino",166,60,20,100,40.8,125,"70-79"
"masculino",195,102,15,93,40.1,96,"70-79"
"feminino",167,70,21,104,40.7,136,"60-69"
"masculino",192,102,19,97,40.4,136,"70-79"
NA,175,77,18,98,40.4,125,"70-79"
"feminino",157,NA,21,88,40,88,"20-29"
"masculino",203,101,19,96,40.5,112,"50-59"
"feminino",163,60,21,98,40.7,110,"20-29"
"feminino",146,51,18,93,40.2,101,"70-79"
"masculino",183,85,16,92,39.7,100,"70-79"
"masculino",175,NA,22,95,41,82,"20-29"
"masculino",175,73,20,100,40.2,90,"20-29"
"feminino",174,73,20,101,40.3,106,"20-29"
"masculino",201,101,16,99,40.1,92,"30-39"
"feminino",169,66,19,97,40.5,102,"40-49"
"feminino",176,77,25,98,40.5,130,"30-39"
"feminino",180,77,19,105,40.3,114,"30-39"
"masculino",185,89,20,109,40.6,127,"20-29"
"masculino",180,78,25,103,40.3,134,"20-29"
"feminino",163,58,17,100,40.4,95,"30-39"
"feminino",157,66,22,96,40.4,117,"40-49"
"masculino",187,94,19,98,40.6,131,"60-69"
"feminino",153,57,21,101,40.3,126,"40-49"
"feminino",174,71,16,100,40.5,91,"40-49"
"feminino",153,54,21,101,40.8,120,"30-39"
"masculino",175,NA,19,98,40.3,106,"40-49"
"masculino",158,63,17,NA,40.2,94,"60-69"
"feminino",162,64,20,105,40.5,132,"60-69"
"masculino",178,77,21,97,40.3,97,"30-39"
"masculino",167,71,16,100,40.3,88,"40-49"
"masculino",168,64,24,105,40.5,128,"20-29"
"feminino",161,63,19,99,40.7,109,"50-59"
"feminino",149,50,17,95,40.2,86,"20-29"
NA,196,95,22,107,40.6,133,"20-29"
"feminino",169,65,18,96,40.4,99,"50-59"
"feminino",180,73,26,89,40.5,110,"30-39"
"feminino",163,62,17,92,40.5,80,"30-39"
"feminino",164,61,20,100,40.3,120,"50-59"
"masculino",195,96,19,95,40.3,88,"20-29"
"feminino",181,73,20,94,40.5,93,"20-29"
"feminino",151,55,20,101,40.7,120,"40-49"
"masculino",187,86,20,NA,40,130,"50-59"
"feminino",172,69,24,103,40.8,134,"20-29"
"masculino",185,85,18,106,39.8,107,"20-29"
"masculino",179,81,14,101,40.1,101,"70-79"
"masculino",180,79,25,102,40.8,135,"30-39"
"masculino",165,71,20,96,40.9,108,"50-59"
"masculino",198,97,23,100,40.7,122,"20-29"
"feminino",154,56,21,105,40.5,132,"40-49"
"feminino",167,63,24,100,40.7,134,"30-39"
"masculino",182,85,22,94,40.7,107,"40-49"
NA,178,73,20,103,40.3,121,"50-59"
"masculino",180,80,24,98,40.8,124,"30-39"
"feminino",150,51,21,97,40.2,108,"20-29"
"masculino",194,86,19,103,40.3,106,"20-29"
"feminino",159,59,22,NA,40.6,115,"50-59"
"masculino",173,77,23,103,40.2,121,"20-29"
NA,160,59,18,98,40.6,104,"50-59"
"masculino",171,79,20,107,40.3,115,"20-29"
"feminino",178,73,17,91,40.2,85,"60-69"
NA,177,75,19,101,40,95,"20-29"
"feminino",169,66,23,104,40.9,137,"30-39"
"feminino",151,52,23,98,40.8,128,"30-39"
"masculino",191,91,17,92,40.5,89,"50-59"
"feminino",161,59,22,96,40.7,116,"40-49"
"masculino",179,NA,19,103,40.6,117,"40-49"
"feminino",174,72,20,100,40.6,114,"40-49"
NA,183,91,20,94,40.5,105,"40-49"
"feminino",176,70,24,101,40.6,133,"30-39"
"masculino",188,98,13,96,40.4,81,"50-59"
"masculino",183,84,18,100,40.4,112,"50-59"
"feminino",152,57,22,102,40.5,131,"30-39"
"masculino",183,86,19,103,40.3,131,"50-59"
"feminino",148,51,14,99,40.1,81,"40-49"
"masculino",171,70,18,97,40.3,82,"30-39"
"feminino",159,60,19,104,40.6,121,"50-59"
"masculino",189,93,14,NA,40.2,88,"50-59"
"feminino",165,65,19,106,40.4,119,"30-39"
"masculino",197,98,18,102,39.8,96,"20-29"
NA,155,58,19,108,41,123,"30-39"
"feminino",NA,78,16,96,40.3,81,"40-49"
"feminino",173,66,20,93,40.8,91,"20-29"
"feminino",177,71,14,103,40,81,"30-39"
"masculino",209,109,23,99,40.6,117,"20-29"
"feminino",NA,58,20,102,40.4,113,"20-29"
"feminino",169,69,22,107,40.8,137,"30-39"
"feminino",163,65,18,100,40.6,97,"20-29"
"feminino",182,72,17,99,39.9,92,"30-39"
"masculino",188,88,18,101,40.3,122,"50-59"
"masculino",195,104,15,92,40.3,87,"50-59"
"masculino",177,78,16,98,40.4,97,"50-59"
"masculino",196,104,15,101,40.2,91,"30-39"
"masculino",198,101,17,NA,40.5,105,"40-49"
"masculino",188,88,20,96,40.7,134,"70-79"
NA,147,56,18,98,40.2,106,"60-69"
"feminino",138,41,17,97,40.1,95,"30-39"
"feminino",168,64,20,100,40.1,110,"30-39"
"feminino",162,59,23,97,40.5,118,"20-29"
"feminino",162,66,22,101,40.9,126,"40-49"
"masculino",175,78,15,100,40.5,86,"40-49"
"masculino",197,92,22,97,40.8,107,"20-29"
"masculino",172,80,16,102,40,109,"50-59"
"masculino",206,114,22,95,40.6,116,"30-39"
"feminino",162,67,21,98,40.3,124,"60-69"
"feminino",154,60,18,104,40.6,113,"40-49"
"feminino",174,63,17,95,40.3,82,"20-29"
"masculino",202,104,19,NA,40.7,118,"40-49"
"feminino",165,66,21,111,40.7,138,"20-29"
"feminino",157,60,21,97,40.5,110,"30-39"
"feminino",166,68,18,101,40.4,110,"60-69"
"masculino",188,98,15,89,40.2,84,"60-69"
"feminino",NA,76,17,103,40.2,100,"40-49"
"feminino",177,72,19,91,40.3,81,"20-29"
"masculino",171,72,18,92,40.3,81,"40-49"
"feminino",165,61,20,99,40.3,110,"30-39"
"masculino",180,81,21,103,40.4,136,"40-49"
"masculino",165,74,20,95,40.6,82,"20-29"
"masculino",173,79,21,96,40.7,112,"40-49"
"feminino",170,69,26,100,41,137,"20-29"
"masculino",183,85,20,99,40.7,131,"60-69"
"feminino",170,72,17,92,40.2,80,"40-49"
"masculino",187,NA,18,91,40.4,82,"40-49"
"masculino",167,66,27,100,40.5,121,"20-29"
"feminino",171,NA,17,107,40.1,104,"20-29"
"feminino",170,69,20,96,40.2,109,"50-59"
"masculino",158,63,20,103,40.5,110,"30-39"
"feminino",162,58,18,95,40.1,106,"70-79"
"feminino",174,77,21,110,40.7,130,"20-29"
"feminino",163,66,21,99,40.8,111,"20-29"
"feminino",180,75,19,98,40.6,99,"30-39"
"feminino",170,71,16,106,40.2,101,"40-49"
"feminino",173,66,25,88,40.6,110,"40-49"
"feminino",171,NA,22,106,40.7,131,"20-29"
"feminino",178,71,17,106,40.5,100,"20-29"
"feminino",165,65,20,91,40.6,90,"30-39"
"feminino",162,56,17,96,40.6,85,"20-29"
"feminino",170,67,19,97,40.6,96,"20-29"
"masculino",174,79,17,100,40.5,89,"30-39"
"feminino",170,70,20,100,40.7,113,"40-49"
"masculino",182,89,15,NA,40.4,103,"70-79"
"masculino",190,99,18,105,40.6,125,"40-49"
"feminino",154,49,16,95,40.3,80,"20-29"
"masculino",177,83,14,101,40.3,105,"70-79"
"feminino",156,55,19,104,40.6,113,"20-29"
"masculino",169,72,16,98,40,108,"70-79"
"masculino",177,81,15,93,40,85,"60-69"
"masculino",184,91,16,90,40.1,90,"60-69"
"masculino",177,78,23,104,40.3,125,"20-29"
"feminino",NA,50,15,98,40.3,80,"20-29"
"feminino",173,68,20,99,40.3,114,"50-59"
"feminino",150,57,19,96,40.3,98,"30-39"
"masculino",197,NA,16,97,40.1,89,"30-39"
"masculino",189,88,15,104,39.7,103,"50-59"
"masculino",172,78,20,94,40.5,90,"30-39"
"feminino",149,50,15,99,40.2,86,"40-49"
"feminino",151,52,15,99,40,83,"30-39"
"feminino",165,65,23,105,40.8,135,"20-29"
"feminino",157,59,24,97,40.6,130,"40-49"
"masculino",184,82,19,104,40.4,119,"40-49"
"feminino",173,68,17,97,40.2,88,"30-39"
"masculino",193,98,16,95,40.2,111,"70-79"
"feminino",166,61,18,97,40.3,91,"20-29"
"feminino",159,59,21,96,40.9,105,"20-29"
"feminino",176,77,21,103,40.5,118,"30-39"
"masculino",186,82,16,NA,40.5,93,"40-49"
"masculino",183,88,17,96,40.3,112,"70-79"
"feminino",166,65,25,91,40.5,122,"50-59"
"feminino",177,68,22,96,40.6,106,"20-29"
"masculino",202,108,19,100,40.4,115,"30-39"
"masculino",184,88,24,104,40.2,131,"20-29"
NA,167,66,23,98,40.4,126,"40-49"
"masculino",190,85,22,103,40.6,114,"20-29"
"feminino",173,68,18,99,40.4,94,"20-29"
"feminino",172,67,21,99,40.6,116,"40-49"
"feminino",163,64,16,96,40.1,87,"50-59"
"feminino",NA,52,16,99,40.4,95,"50-59"
"feminino",154,52,22,97,40.7,117,"30-39"
NA,177,83,20,99,40.4,92,"20-29"
"feminino",150,57,18,100,40.1,107,"50-59"
"masculino",204,98,18,97,40.3,90,"20-29"
"masculino",168,68,18,98,40.2,117,"70-79"
"masculino",192,95,17,101,40.3,132,"70-79"
"masculino",192,102,12,98,40,87,"70-79"
"feminino",147,50,15,97,40,80,"20-29"
"feminino",172,70,19,99,40.4,106,"40-49"
"masculino",192,94,14,102,40.3,94,"50-59"
"masculino",170,66,15,103,39.9,84,"30-39"
"feminino",158,56,25,97,40.9,130,"20-29"
"feminino",151,60,20,96,40.5,110,"50-59"
"masculino",192,92,19,102,40.6,109,"30-39"
"masculino",182,83,20,104,40.2,108,"20-29"
"masculino",169,70,22,97,40.5,87,"20-29"
"feminino",169,60,21,99,40.5,111,"20-29"
"masculino",183,92,16,103,40.3,107,"40-49"
"masculino",176,74,19,NA,40.5,110,"20-29"
"feminino",153,55,16,104,40.1,106,"60-69"
"feminino",158,55,20,105,40.5,119,"20-29"
"feminino",171,65,20,101,40.7,115,"40-49"
"feminino",189,86,22,104,40.7,122,"20-29"
"feminino",169,67,23,97,40.5,126,"50-59"
"masculino",173,73,20,104,40.2,109,"20-29"
"masculino",NA,87,18,91,40,104,"60-69"
"feminino",152,54,17,94,40.3,81,"20-29"
"feminino",185,76,23,97,40.7,113,"20-29"
"feminino",177,78,19,97,40.1,104,"50-59"
"masculino",195,93,17,103,40.4,112,"40-49"
"masculino",186,87,23,104,40.6,133,"20-29"
"feminino",168,NA,22,NA,40.7,119,"40-49"
"masculino",167,71,15,95,39.9,81,"50-59"
"masculino",206,111,16,97,40.4,91,"30-39"
"feminino",167,69,16,98,40.2,82,"20-29"
"feminino",160,56,18,111,40.4,121,"20-29"
"masculino",192,94,20,105,40.5,128,"30-39"
"feminino",175,68,15,98,40,88,"60-69"
"feminino",185,83,16,105,40.3,90,"20-29"
"masculino",191,94,17,96,39.9,108,"60-69"
"feminino",160,53,15,105,39.9,92,"20-29"
"feminino",NA,52,19,98,40.4,117,"70-79"
"masculino",199,96,19,92,40.5,89,"40-49"
"feminino",164,63,22,102,40.9,124,"20-29"
"feminino",167,63,24,97,40.6,121,"20-29"
"feminino",144,46,22,99,40.7,120,"20-29"
"masculino",202,103,17,92,40.1,113,"70-79"
"feminino",167,63,21,100,40.5,125,"50-59"
"feminino",155,54,17,101,40.4,99,"30-39"
"feminino",170,64,24,102,40.6,138,"30-39"
"masculino",181,79,15,98,40.2,88,"50-59"
"feminino",158,60,17,105,40,104,"30-39"
"masculino",183,83,14,101,40.2,90,"50-59"
"feminino",151,57,21,99,40.4,116,"30-39"
"masculino",177,83,19,104,41,136,"50-59"
"masculino",196,95,23,100,40.9,125,"30-39"
"masculino",179,79,20,104,40.4,129,"40-49"
"feminino",NA,67,24,88,40.9,105,"40-49"
"feminino",155,55,18,95,40.8,89,"20-29"
"masculino",183,86,15,94,40.3,91,"60-69"
"feminino",153,59,16,94,40.5,92,"70-79"
"masculino",183,91,15,108,40,112,"50-59"
"masculino",180,88,15,100,40.2,106,"60-69"
NA,200,102,23,101,40.7,120,"20-29"
"feminino",169,70,19,99,40.6,99,"20-29"
"masculino",188,96,21,94,40.6,96,"30-39"
"masculino",172,79,15,101,40.5,102,"60-69"
"feminino",179,73,23,104,40.8,134,"30-39"
"feminino",146,45,18,96,40.2,93,"20-29"
"masculino",180,NA,23,105,41,131,"20-29"
NA,150,50,21,107,40.5,133,"20-29"
"masculino",NA,83,16,92,40.2,89,"60-69"
"feminino",160,58,17,91,40.5,82,"40-49"
"masculino",182,NA,25,94,41,108,"30-39"
"masculino",198,100,16,97,39.9,93,"40-49"
"masculino",168,74,18,102,40.3,130,"70-79"
"feminino",NA,59,21,100,40.5,116,"20-29"
"feminino",161,62,19,104,40.5,122,"50-59"
"feminino",169,73,19,101,40.5,109,"40-49"
"masculino",205,109,14,94,40.1,81,"50-59"
"feminino",166,63,19,107,40.5,134,"70-79"
"masculino",183,87,23,100,41.3,124,"30-39"
"masculino",184,92,17,97,40.5,104,"50-59"
"masculino",183,92,15,NA,40.2,93,"50-59"
"masculino",183,91,15,93,40.5,91,"60-69"
"masculino",184,90,17,101,40.1,130,"70-79"
"masculino",189,91,15,101,40,88,"30-39"
"feminino",NA,64,20,92,40.3,91,"20-29"
"feminino",160,54,24,103,40.3,138,"20-29"
"masculino",189,89,19,99,40.4,113,"40-49"
NA,170,68,16,101,40.2,91,"40-49"
"feminino",188,78,21,91,41,87,"20-29"
"masculino",NA,74,18,95,40.3,82,"30-39"
"masculino",192,90,18,94,40.3,90,"40-49"
"masculino",179,82,23,97,41,129,"40-49"
"feminino",160,62,15,91,39.9,81,"70-79"
"masculino",181,84,17,101,40,92,"30-39"
"feminino",160,53,20,97,40.5,102,"20-29"
"feminino",170,69,20,107,40.4,138,"70-79"
"feminino",168,63,22,104,40.7,126,"20-29"
"masculino",NA,94,17,105,40.3,104,"20-29"
"feminino",167,63,14,98,40.2,83,"60-69"
"masculino",182,89,18,103,40.1,104,"30-39"
"feminino",162,65,17,96,40.2,85,"20-29"
"masculino",200,99,23,100,40.4,121,"20-29"
"feminino",157,56,16,93,40.2,83,"50-59"
"feminino",154,62,22,100,40.6,129,"50-59"
"feminino",163,57,23,102,40.6,136,"30-39"
"masculino",210,111,22,104,40.6,135,"20-29"
"feminino",166,61,16,100,40.5,98,"60-69"
"masculino",194,99,20,100,40.6,134,"50-59"
"feminino",159,59,18,100,40.1,102,"30-39"
"feminino",155,NA,20,96,40.4,107,"40-49"
"masculino",205,NA,19,99,40.4,101,"20-29"
"masculino",187,82,25,101,40.8,128,"20-29"
"feminino",161,64,21,110,40.5,136,"20-29"
"masculino",191,89,22,106,40.3,134,"20-29"
"masculino",NA,76,19,97,40.6,123,"70-79"
"feminino",172,70,21,112,40.9,136,"20-29"
"masculino",189,92,16,98,40.4,86,"30-39"
"masculino",184,79,24,102,40.6,122,"20-29"
"feminino",152,51,15,97,40.1,86,"50-59"
"feminino",153,56,18,104,40.5,110,"30-39"
"masculino",184,88,19,96,40.5,84,"20-29"
"feminino",163,58,19,92,40.3,89,"30-39"
"masculino",183,86,17,NA,40.3,80,"30-39"
"masculino",172,75,22,99,40.7,99,"20-29"
"feminino",176,70,18,97,40.2,105,"70-79"
"masculino",172,71,20,99,40.4,110,"40-49"
"feminino",177,76,19,96,40.5,91,"20-29"
"feminino",184,72,18,98,40.2,90,"20-29"
"masculino",174,79,19,98,40.4,128,"70-79"
"masculino",198,109,14,92,40.3,94,"70-79"
"masculino",NA,89,16,103,40.3,86,"20-29"
"feminino",167,67,21,95,40.1,100,"20-29"
"feminino",175,67,23,103,40.7,135,"30-39"
"feminino",173,69,17,95,40.4,80,"20-29"
"feminino",189,82,19,93,40.6,82,"20-29"
"masculino",164,71,20,100,40.6,133,"60-69"
"masculino",185,88,19,97,40.1,101,"40-49"
"masculino",167,69,22,102,40.5,106,"20-29"
"masculino",191,90,21,105,40.5,130,"30-39"
"masculino",199,100,17,98,40.5,118,"60-69"
"feminino",161,56,21,109,40.3,136,"20-29"
"masculino",179,83,28,96,41,126,"20-29"
"feminino",177,76,22,101,40.6,138,"70-79"
"feminino",153,52,16,97,40.4,92,"50-59"
"feminino",163,60,19,100,40.7,112,"50-59"
"masculino",200,99,16,100,40.2,94,"30-39"
"masculino",NA,NA,24,95,40.5,105,"20-29"
"masculino",192,90,17,109,40.5,110,"20-29"
"feminino",159,57,17,93,40.1,85,"40-49"
"feminino",179,68,16,101,40.1,87,"20-29"
"masculino",191,93,15,98,40.3,80,"30-39"
"masculino",197,90,24,104,40.7,137,"20-29"
"feminino",161,57,18,99,40.5,99,"30-39"
"masculino",203,111,16,92,40.1,98,"60-69"
"masculino",185,82,21,102,40.8,107,"20-29"
"masculino",197,100,21,97,40.5,97,"20-29"
"feminino",169,64,19,100,40.4,101,"20-29"
"masculino",175,79,22,99,40.5,118,"30-39"
"masculino",195,94,14,100,40.1,88,"40-49"
"feminino",NA,70,17,105,40.4,105,"40-49"
"masculino",195,94,17,100,40.5,90,"20-29"
"masculino",192,NA,17,94,40.3,89,"40-49"
"feminino",155,52,23,97,40.4,131,"50-59"
"feminino",163,59,20,109,40.7,132,"30-39"
"feminino",168,60,22,94,40.3,105,"20-29"
"feminino",177,75,21,95,40.6,105,"40-49"
"feminino",157,54,19,101,40.5,105,"20-29"
"masculino",180,79,21,100,40.9,120,"40-49"
"masculino",192,87,18,99,40.2,87,"20-29"
"feminino",158,53,24,100,40.7,135,"30-39"
"masculino",194,99,16,92,40.4,88,"50-59"
"masculino",176,82,13,96,40.3,90,"70-79"
"masculino",170,70,29,99,41.2,128,"20-29"
"feminino",164,64,17,95,40.3,81,"20-29"
"masculino",183,89,18,93,40.5,99,"50-59"
"feminino",171,68,23,99,41.1,118,"20-29"
"masculino",184,88,20,107,40.5,124,"20-29"
"feminino",154,56,21,105,40.3,136,"50-59"
"feminino",164,61,23,101,40.7,132,"30-39"
"feminino",162,60,17,98,39.9,99,"50-59"
"masculino",191,93,17,110,40.5,112,"20-29"
"masculino",177,86,14,97,40,93,"60-69"
"masculino",181,82,18,105,40.3,103,"20-29"
"masculino",174,70,25,102,40.9,121,"20-29"
"masculino",181,82,19,101,40.4,100,"30-39"
NA,188,NA,17,98,40.3,86,"30-39"
"masculino",173,74,16,96,40.3,97,"60-69"
"feminino",166,64,19,93,40.7,89,"20-29"
"feminino",158,60,17,99,40.4,96,"40-49"
"feminino",167,71,21,98,40.3,122,"60-69"
"feminino",156,58,21,102,40.6,118,"20-29"
"feminino",162,58,19,95,40.7,99,"40-49"
"masculino",185,89,16,100,40.4,94,"40-49"
"feminino",149,50,19,98,40.4,102,"20-29"
"feminino",165,61,21,92,40.8,94,"20-29"
"feminino",170,70,22,104,40.7,130,"30-39"
"feminino",170,66,24,101,40.6,133,"30-39"
"feminino",160,NA,22,101,40.5,137,"60-69"
"masculino",180,NA,17,92,40.5,95,"60-69"
NA,172,73,25,103,40.6,131,"20-29"
"feminino",175,74,17,98,40.2,91,"40-49"
"feminino",179,76,21,99,40.3,121,"60-69"
"masculino",195,96,16,95,40.4,86,"40-49"
"feminino",168,67,21,100,40.4,112,"20-29"
"masculino",NA,80,17,101,40.2,113,"50-59"
"masculino",180,79,21,95,40.6,82,"20-29"
"feminino",180,71,22,104,40.4,124,"20-29"
"feminino",170,69,24,97,40.7,128,"40-49"
"feminino",153,NA,15,100,39.9,88,"40-49"
"masculino",193,93,13,95,39.9,86,"70-79"
"feminino",184,81,17,102,40.1,98,"40-49"
"feminino",167,66,20,105,40.2,124,"40-49"
"masculino",180,78,17,110,40.8,106,"20-29"
"feminino",163,68,23,92,40.7,121,"70-79"
"feminino",NA,73,18,102,40.2,101,"30-39"
"masculino",194,97,17,95,40.6,80,"30-39"
"feminino",167,67,20,105,40.7,116,"20-29"
"masculino",193,93,23,94,40.6,97,"20-29"
"masculino",197,90,24,99,40.5,112,"20-29"
"feminino",182,76,16,100,40.3,87,"30-39"
"feminino",160,60,18,102,40.4,103,"20-29"
"masculino",195,99,18,101,40.7,100,"20-29"
"masculino",177,76,21,100,40.4,121,"40-49"
"masculino",159,61,17,103,40.7,108,"50-59"
"feminino",155,49,23,97,40.9,120,"20-29"
"masculino",172,74,21,101,40.5,127,"50-59"
"feminino",157,56,19,97,40.5,101,"30-39"
"masculino",178,87,14,103,40.3,96,"50-59"
"masculino",188,93,14,98,40.2,86,"50-59"
NA,164,56,17,101,40.1,96,"20-29"
"feminino",164,68,21,99,40.6,124,"60-69"
"masculino",184,86,22,104,40.4,126,"20-29"
"masculino",168,70,22,100,40.7,117,"30-39"
"feminino",178,82,16,94,40.1,83,"60-69"
NA,188,93,15,103,40.1,89,"30-39"
"feminino",158,60,17,95,40.1,88,"40-49"
"masculino",202,108,18,97,40.2,115,"50-59"
"feminino",162,NA,23,98,40.9,119,"20-29"
"masculino",152,54,20,96,40.5,92,"40-49"
"masculino",174,NA,20,NA,40.3,91,"20-29"
"masculino",173,73,18,104,40.8,99,"20-29"
"masculino",174,77,21,NA,40.4,130,"50-59"
"masculino",NA,79,22,NA,40.6,126,"20-29"
"masculino",169,73,16,99,40.3,107,"70-79"
"feminino",156,56,22,99,40.3,116,"20-29"
"masculino",201,101,16,95,40.1,91,"40-49"
"masculino",196,97,20,92,40.4,104,"50-59"
"feminino",175,78,19,91,40.3,92,"60-69"
"masculino",174,81,19,106,40.7,134,"50-59"
"feminino",164,61,18,94,40.6,84,"20-29"
"masculino",188,94,12,104,39.9,99,"70-79"
"feminino",186,81,22,101,40.8,123,"40-49"
"feminino",169,64,21,95,40.3,103,"20-29"
"feminino",160,58,17,92,40.1,86,"50-59"
"feminino",165,63,19,107,40.3,124,"40-49"
"masculino",168,70,19,112,40.6,123,"20-29"
"feminino",165,60,18,NA,40.2,86,"60-69"
"feminino",166,70,22,92,40.9,108,"50-59"
"feminino",155,57,21,95,40.7,104,"20-29"
"feminino",174,70,21,109,40.7,136,"30-39"
"feminino",167,68,17,101,40.3,104,"60-69"
"masculino",184,79,21,99,40.6,100,"20-29"
"masculino",196,99,21,108,40.7,131,"20-29"
"feminino",171,72,23,102,40.9,132,"40-49"
"masculino",182,81,20,105,40.6,121,"30-39"
"masculino",204,NA,22,101,40.8,126,"20-29"
"masculino",192,100,13,99,40.2,94,"60-69"
NA,179,83,24,102,40.5,120,"20-29"
"masculino",184,79,23,103,41,121,"20-29"
"masculino",182,84,17,96,40.3,92,"40-49"
"masculino",179,83,16,94,40.1,104,"70-79"
"feminino",160,64,19,103,40.6,114,"40-49"
"masculino",177,83,18,98,40.4,93,"30-39"
NA,151,58,23,97,40.7,138,"70-79"
"masculino",186,91,21,107,40.3,133,"20-29"
"masculino",182,91,14,102,40.1,95,"50-59"
"masculino",184,85,22,NA,40.4,106,"20-29"
"masculino",202,97,16,105,40.1,103,"30-39"
"masculino",183,86,20,100,40.2,136,"60-69"
"feminino",180,77,22,104,40.5,127,"30-39"
NA,183,89,17,103,39.9,115,"50-59"
"feminino",NA,72,18,107,40.5,119,"50-59"
"feminino",161,67,26,95,40.8,124,"20-29"
"masculino",176,74,21,97,40.6,88,"20-29"
NA,179,80,15,107,40.5,122,"70-79"
"masculino",185,85,19,96,40.4,81,"20-29"
"masculino",186,85,17,94,40.5,88,"40-49"
"feminino",NA,73,17,98,40.2,90,"40-49"
"feminino",160,60,19,105,40.4,112,"20-29"
"feminino",NA,62,21,97,40.8,110,"30-39"
"feminino",159,60,15,99,40.5,81,"30-39"
NA,179,75,17,98,40.6,92,"40-49"
"masculino",183,87,17,97,40.2,80,"20-29"
NA,169,69,18,97,40.6,88,"20-29"
"masculino",NA,76,24,104,40.5,129,"20-29"
"masculino",194,91,21,98,40.3,109,"30-39"
"feminino",170,66,20,102,40.5,112,"20-29"
"masculino",171,68,22,101,40.9,102,"20-29"
"feminino",151,55,23,97,40.8,136,"60-69"
"feminino",176,74,17,99,40.4,96,"50-59"
"feminino",166,62,22,99,40.5,118,"20-29"
"feminino",174,76,18,101,40.5,112,"70-79"
"feminino",161,64,17,90,40.6,85,"60-69"
"masculino",194,96,20,97,40.3,92,"20-29"
"feminino",168,66,19,94,40.6,93,"30-39"
"feminino",154,57,18,103,40.2,120,"70-79"
"feminino",166,68,16,101,40.3,92,"40-49"
"feminino",166,60,20,103,40.6,115,"20-29"
"masculino",181,81,19,102,40.6,105,"30-39"
"feminino",166,73,19,99,40.5,109,"50-59"
"masculino",185,90,17,NA,40.4,88,"40-49"
"masculino",175,74,22,103,40.3,126,"30-39"
"masculino",195,90,21,95,40.7,86,"20-29"
"feminino",168,68,21,99,40.5,123,"60-69"
"feminino",157,60,17,98,40.7,105,"70-79"
"feminino",NA,64,20,94,40.6,101,"40-49"
"feminino",170,72,22,98,40.9,131,"70-79"
"masculino",176,76,18,104,40.3,135,"60-69"
"masculino",NA,94,22,98,40.5,138,"50-59"
"feminino",145,53,18,96,40.3,97,"40-49"
"masculino",183,87,17,99,40,99,"40-49"
"masculino",187,94,16,99,40.3,102,"50-59"
"feminino",165,62,24,100,40.8,130,"20-29"
"masculino",186,86,18,96,40.3,82,"20-29"
"masculino",190,95,19,101,40.6,103,"20-29"
"feminino",161,59,16,89,40.2,83,"70-79"
NA,177,76,24,98,40.7,120,"30-39"
"masculino",182,85,19,101,40.3,138,"70-79"
"masculino",181,86,12,104,39.7,84,"50-59"
"feminino",175,73,21,99,40.7,114,"40-49"
"masculino",175,76,22,99,40.7,113,"30-39"
NA,158,63,23,101,40.7,138,"50-59"
"feminino",170,68,16,101,40.2,97,"60-69"
"masculino",193,102,17,104,40,106,"30-39"
"feminino",165,67,21,106,40.8,134,"40-49"
